Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

1953.125000,1.83000000E+2,
1962.890600,1.58000000E+2,
1972.656300,1.74000000E+2,
1982.421900,1.43000000E+2,
1992.187500,1.71000000E+2,
2001.953100,1.68000000E+2,
2011.718800,1.72000000E+2,
2021.484400,1.62000000E+2,
2031.25000,1.66000000E+2,
2041.015600,1.61000000E+2,
2050.781300,1.70000000E+2,
2060.546900,1.53000000E+2,
2070.312500,1.63000000E+2,
2080.078100,1.50000000E+2,
2089.843800,1.58000000E+2,
2099.609400,1.48000000E+2,
2109.375000,1.65000000E+2,
2119.140600,1.62000000E+2,
2128.906300,1.61000000E+2,
2138.671900,1.78000000E+2,
2148.437500,1.50000000E+2,
2158.203100,1.72000000E+2,
2167.968800,1.63000000E+2,
2177.734400,1.78000000E+2,
2187.5000,1.60000000E+2,
2197.265600,1.73000000E+2,
2207.031300,1.55000000E+2,
2216.796900,1.48000000E+2,
2226.562500,1.56000000E+2,
2236.328100,1.55000000E+2,
2246.093800,1.58000000E+2,
2255.859400,1.60000000E+2,
2265.625000,1.81000000E+2,
2275.390600,1.57000000E+2,
2285.156300,1.62000000E+2,
2294.921900,1.61000000E+2,
2304.687500,1.39000000E+2,
2314.453100,1.36000000E+2,
2324.218800,1.50000000E+2,
2333.984400,1.51000000E+2,
2343.75000,1.65000000E+2,
2353.515600,1.67000000E+2,
2363.281300,1.59000000E+2,
2373.046900,1.53000000E+2,
2382.812500,1.73000000E+2,
2392.578100,1.38000000E+2,
2402.343800,1.56000000E+2,
2412.109400,1.56000000E+2,
2421.875000,1.48000000E+2,
2431.640600,1.37000000E+2,
2441.406300,1.32000000E+2,
2451.171900,1.31000000E+2,
2460.937500,1.55000000E+2,
2470.703100,1.69000000E+2,
2480.468800,1.47000000E+2,
2490.234400,1.55000000E+2,
2500.00,1.48000000E+2,
2509.765600,1.24000000E+2,
2519.531300,1.48000000E+2,
2529.296900,1.21000000E+2,
2539.062500,1.54000000E+2,
2548.828100,1.45000000E+2,
2558.593800,1.27000000E+2,
2568.359400,1.43000000E+2,
2578.125000,1.25000000E+2,
2587.890600,1.61000000E+2,
2597.656300,1.43000000E+2,
2607.421900,1.27000000E+2,
2617.187500,1.08000000E+2,
2626.953100,1.31000000E+2,
2636.718800,1.10000000E+2,
2646.484400,1.37000000E+2,
2656.25000,1.11000000E+2,
2666.015600,1.38000000E+2,
2675.781300,1.61000000E+2,
2685.546900,1.14000000E+2,
2695.312500,1.43000000E+2,
2705.078100,1.38000000E+2,
2714.843800,1.32000000E+2,
2724.609400,1.40000000E+2,
2734.375000,1.18000000E+2,
2744.140600,1.39000000E+2,
2753.906300,1.57000000E+2,
2763.671900,1.45000000E+2,
2773.437500,1.24000000E+2,
2783.203100,1.20000000E+2,
2792.968800,1.19000000E+2,
2802.734400,1.15000000E+2,
2812.5000,1.51000000E+2,
2822.265600,1.24000000E+2,
2832.031300,1.31000000E+2,
2841.796900,1.28000000E+2,
2851.562500,1.26000000E+2,
2861.328100,1.03000000E+2,
2871.093800,1.23000000E+2,
2880.859400,1.17000000E+2,
2890.625000,1.10000000E+2,
2900.390600,1.22000000E+2,
2910.156300,1.30000000E+2,
2919.921900,1.22000000E+2,
2929.687500,1.23000000E+2,
2939.453100,1.17000000E+2,
2949.218800,1.35000000E+2,
2958.984400,1.31000000E+2,
2968.75000,1.30000000E+2,
2978.515600,1.43000000E+2,
2988.281300,1.33000000E+2,
2998.046900,1.30000000E+2,
3007.812500,1.32000000E+2,
3017.578100,1.15000000E+2,
3027.343800,1.41000000E+2,
3037.109400,1.21000000E+2,
3046.875000,1.31000000E+2,
3056.640600,1.12000000E+2,
3066.406300,1.19000000E+2,
3076.171900,1.15000000E+2,
3085.937500,1.06000000E+2,
3095.703100,1.15000000E+2,
3105.468800,1.21000000E+2,
3115.234400,1.20000000E+2,
3125.000,1.27000000E+2,
3134.765600,1.06000000E+2,
3144.531300,1.22000000E+2,
3154.296900,1.30000000E+2,
3164.062500,1.29000000E+2,
3173.828100,1.18000000E+2,
3183.593800,1.33000000E+2,
3193.359400,1.03000000E+2,
3203.125000,1.01000000E+2,
3212.890600,1.18000000E+2,
3222.656300,1.21000000E+2,
3232.421900,1.19000000E+2,
3242.187500,1.01000000E+2,
3251.953100,1.30000000E+2,
3261.718800,1.16000000E+2,
3271.484400,1.10000000E+2,
3281.25000,1.27000000E+2,
3291.015600,1.12000000E+2,
3300.781300,1.17000000E+2,
3310.546900,1.11000000E+2,
3320.312500,1.01000000E+2,
3330.078100,1.00000000E+2,
3339.843800,1.11000000E+2,
3349.609400,1.15000000E+2,
3359.375000,1.18000000E+2,
3369.140600,1.15000000E+2,
3378.906300,1.05000000E+2,
3388.671900,1.15000000E+2,
3398.437500,8.50000000E+1,
3408.203100,1.05000000E+2,
3417.968800,8.90000000E+1,
3427.734400,8.60000000E+1,
3437.5000,9.50000000E+1,
3447.265600,1.11000000E+2,
3457.031300,1.07000000E+2,
3466.796900,8.90000000E+1,
3476.562500,9.30000000E+1,
3486.328100,1.12000000E+2,
3496.093800,1.26000000E+2,
3505.859400,1.16000000E+2,
3515.625000,1.20000000E+2,
3525.390600,9.80000000E+1,
3535.156300,1.09000000E+2,
3544.921900,1.03000000E+2,
3554.687500,1.02000000E+2,
3564.453100,9.60000000E+1,
3574.218800,1.08000000E+2,
3583.984400,1.04000000E+2,
3593.75000,1.04000000E+2,
3603.515600,1.00000000E+2,
3613.281300,1.08000000E+2,
3623.046900,7.70000000E+1,
3632.812500,1.11000000E+2,
3642.578100,1.07000000E+2,
3652.343800,9.70000000E+1,
3662.109400,1.32000000E+2,
3671.875000,1.22000000E+2,
3681.640600,1.11000000E+2,
3691.406300,9.70000000E+1,
3701.171900,7.70000000E+1,
3710.937500,9.20000000E+1,
3720.703100,1.03000000E+2,
3730.468800,9.60000000E+1,
3740.234400,1.01000000E+2,
3750.00,1.02000000E+2,
3759.765600,9.90000000E+1,
3769.531300,1.02000000E+2,
3779.296900,1.02000000E+2,
3789.062500,1.28000000E+2,
3798.828100,1.07000000E+2,
3808.593800,8.90000000E+1,
3818.359400,9.30000000E+1,
3828.125000,1.02000000E+2,
3837.890600,9.70000000E+1,
3847.656300,9.50000000E+1,
3857.421900,1.07000000E+2,
3867.187500,1.05000000E+2,
3876.953100,1.01000000E+2,
3886.718800,9.60000000E+1,
3896.484400,9.70000000E+1,
3906.25000,7.60000000E+1,
3916.015600,8.40000000E+1,
3925.781300,9.60000000E+1,
3935.546900,8.20000000E+1,
3945.312500,8.20000000E+1,
3955.078100,9.20000000E+1,
3964.843800,1.10000000E+2,
3974.609400,9.30000000E+1,
3984.375000,1.02000000E+2,
3994.140600,9.80000000E+1,
4003.906300,9.80000000E+1,
4013.671900,8.90000000E+1,
4023.437500,9.30000000E+1,
4033.203100,9.20000000E+1,
4042.968800,8.30000000E+1,
4052.734400,8.40000000E+1,
4062.5000,8.10000000E+1,
4072.265600,8.60000000E+1,
4082.031300,1.02000000E+2,
4091.796900,7.30000000E+1,
4101.562500,1.09000000E+2,
4111.328100,7.80000000E+1,
4121.093800,8.10000000E+1,
4130.859400,8.80000000E+1,
4140.625000,7.30000000E+1,
4150.390600,9.10000000E+1,
4160.156300,7.40000000E+1,
4169.921900,6.90000000E+1,
4179.687500,9.30000000E+1,
4189.453100,8.10000000E+1,
4199.218800,9.00000000E+1,
4208.984400,8.30000000E+1,
4218.75000,7.90000000E+1,
4228.515600,7.80000000E+1,
4238.281300,8.20000000E+1,
4248.046900,8.60000000E+1,
4257.812500,8.50000000E+1,
4267.578100,8.30000000E+1,
4277.343800,6.70000000E+1,
4287.109400,9.70000000E+1,
4296.875000,8.20000000E+1,
4306.640600,9.60000000E+1,
4316.406300,7.90000000E+1,
4326.171900,8.40000000E+1,
4335.937500,8.80000000E+1,
4345.703100,7.90000000E+1,
4355.468800,1.01000000E+2,
4365.234400,7.50000000E+1,
4375.000,7.20000000E+1,
4384.765600,9.20000000E+1,
4394.531300,8.70000000E+1,
4404.296900,8.00000000E+1,
4414.062500,8.40000000E+1,
4423.828100,7.40000000E+1,
4433.593800,6.90000000E+1,
4443.359400,7.50000000E+1,
4453.125000,8.40000000E+1,
4462.890600,7.60000000E+1,
